epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.33546,1.4998,1.74881,1.12486,0.65932,0.50392,0.50012,0.30707,1.393,1.52911,1.08172,1.111e-05,1.111e-05,1.111e-05
2,2.18937,1.49824,1.71554,1.0821,0.70227,0.47062,0.50687,0.31161,1.38863,1.51872,1.07722,3.27801e-05,3.27801e-05,3.27801e-05
3,3.05851,1.44969,1.76254,1.09111,0.70303,0.48539,0.51982,0.31782,1.3875,1.48781,1.06988,5.37169e-05,5.37169e-05,5.37169e-05
4,3.91185,1.47709,1.61068,1.11494,0.68044,0.51328,0.52065,0.3154,1.38929,1.47122,1.06252,7.39204e-05,7.39204e-05,7.39204e-05
5,4.86531,1.4859,1.5741,1.0565,0.71173,0.471,0.51857,0.31494,1.38063,1.47947,1.0563,9.33907e-05,9.33907e-05,9.33907e-05
6,5.70841,1.38844,1.50906,1.01884,0.68739,0.51346,0.52935,0.32407,1.38047,1.48461,1.05747,0.000112128,0.000112128,0.000112128
7,6.59883,1.44414,1.56913,1.0287,0.74038,0.47071,0.55197,0.33559,1.38485,1.45265,1.06095,0.000130131,0.000130131,0.000130131
8,7.4665,1.40455,1.52436,1.05796,0.71756,0.50295,0.57554,0.34755,1.39513,1.42336,1.06539,0.000147402,0.000147402,0.000147402
9,8.3449,1.40044,1.4602,1.05111,0.72427,0.49841,0.58382,0.35484,1.38299,1.42518,1.0611,0.000163939,0.000163939,0.000163939
10,9.20405,1.39884,1.48785,1.04634,0.73823,0.5134,0.59666,0.36029,1.35975,1.43733,1.05138,0.000179743,0.000179743,0.000179743
11,10.0724,1.49067,1.49619,1.08695,0.7141,0.53281,0.60834,0.36789,1.34954,1.45125,1.04574,0.000194814,0.000194814,0.000194814
12,10.9161,1.37525,1.45904,1.05472,0.7019,0.54632,0.61097,0.37224,1.34298,1.45425,1.04177,0.000209151,0.000209151,0.000209151
13,11.7655,1.4992,1.51934,1.07761,0.75298,0.50596,0.61936,0.38402,1.33828,1.45335,1.04107,0.000222756,0.000222756,0.000222756
14,12.5981,1.31257,1.39571,1.03728,0.74746,0.52085,0.63032,0.39095,1.33046,1.44465,1.03931,0.000235626,0.000235626,0.000235626
15,13.4303,1.40384,1.41799,1.05268,0.74868,0.52477,0.65022,0.41126,1.32058,1.41342,1.03989,0.000247764,0.000247764,0.000247764
16,14.2622,1.35604,1.39514,1.04701,0.77685,0.50338,0.65406,0.40881,1.33949,1.41217,1.04536,0.000259169,0.000259169,0.000259169
17,15.0905,1.39987,1.40971,1.04294,0.58613,0.62318,0.64145,0.38884,1.41911,1.4334,1.06567,0.00026984,0.00026984,0.00026984
18,15.9012,1.37611,1.32344,1.05379,0.6719,0.64792,0.65967,0.39268,1.43654,1.41996,1.06832,0.000279778,0.000279778,0.000279778
19,16.7293,1.37157,1.32739,1.09653,0.71419,0.62354,0.68596,0.41793,1.38949,1.39453,1.054,0.000288982,0.000288982,0.000288982
20,17.564,1.36272,1.29391,1.05958,0.74068,0.57482,0.67756,0.41935,1.39427,1.39479,1.0616,0.000297454,0.000297454,0.000297454
21,18.5527,1.40271,1.34896,1.07167,0.66303,0.58882,0.67901,0.41345,1.42986,1.39452,1.08059,0.000305192,0.000305192,0.000305192
22,19.3515,1.46238,1.31679,1.11332,0.7693,0.54133,0.68892,0.42554,1.3896,1.35519,1.0649,0.000312197,0.000312197,0.000312197
23,20.1905,1.38742,1.3186,1.05314,0.80795,0.54189,0.69598,0.44243,1.32203,1.3194,1.03994,0.000318468,0.000318468,0.000318468
24,21.0468,1.34473,1.29676,1.03815,0.71968,0.64365,0.72327,0.45886,1.3203,1.26859,1.0393,0.000324006,0.000324006,0.000324006
25,21.8877,1.39771,1.27878,1.05559,0.71498,0.67457,0.72852,0.45109,1.33988,1.23309,1.0415,0.000328812,0.000328812,0.000328812
